0,lived-in,Lee,Singapore
1,born-in,Pat Passlof,Brunswick
2,travels-to,Saakashvili,Tbilisi
3,lived-in,John Edwards,North Carolina
4,lived-in,Suu Kyi,Yangon
5,died-in,Bhutto,Rawalpindi
6,lived-in,Robert Aderholt,Haleyville
7,lived-in,Schwarzenegger,California
8,born-in,Tina Kim,Seoul
9,travels-to,Kassir,Beirut
10,born-in,Vladimir Makhnutin,Chusovoy
11,died-in,Florence Reece,Knoxville
12,nationality,Nabi Sensoy,Turkey
13,travels-to,John Kerry,Afghanistan
14,died-in,Grand Duchess Maria,Yekaterinburg
15,born-in,Ted Dey,Hull
16,travels-to,Liam Hemsworth,Los Angeles
17,born-in,Reed Hansen,Orlando
18,lived-in,Hau Lung-bin,Taipei
19,lived-in,George Yeo,Singapore
20,born-in,Gopal Gurunath Bewoor,Madhya Pradesh
21,born-in,Costa Panayi,Stretford
22,travels-to,Nawaz Sharif,Lahore
23,born-in,Thomas Scott,Pennsylvania
24,travels-to,Obama,Boston
25,born-in,Carey,Newark
26,lived-in,Michael B. Enzi,Nevada
27,born-in,Madeleine L'Engle Camp,New York City
28,died-in,Jay Morago,Phoenix
29,died-in,Ignacio Uria Mendizabal,Azpeitia
30,lived-in,Ellsbury,Madras
31,lived-in,Mayor Ken Livingstone,London
32,born-in,Zhang Li,Shanghai
33,lived-in,Romney,Massachusetts
34,lived-in,Ferlinghetti,U.S.
35,travels-to,Michelle Obama,Boston
36,travels-to,John Kerry,Cairo
37,lived-in,Adam Putnam,Bartow
38,born-in,Freeman,Memphis
39,born-in,Lolita Ananasova,Kharkiv
40,nationality,Grigor Dimitrov,Bulgaria
41,lived-in,Kenny Perry,Kentucky
42,born-in,Lei Sufen,Nanning
43,born-in,Matt Stevic,Leongatha
44,travels-to,Biden,India
45,born-in,Paul Zuccarelli,Milan
46,born-in,Thomas Clowes,Marblehead
47,died-in,Pinochet,Santiago
48,born-in,Stingley,Chicago
49,travels-to,Gates,Middle East
50,died-in,Litvinenko,London
51,travels-to,Defense Secretary Chuck Hagel,Israel
52,nationality,Prince Bandar bin Sultan,Saudi Arabia
53,born-in,Lee Childs,Yeovil
54,lived-in,Blagojevich,Chicago
55,died-in,Smith,Hollywood
56,born-in,Selo Soemardjan,Yogyakarta
57,born-in,Silas Seandel,New York City
58,died-in,Theo Van Gogh,Amsterdam
59,born-in,Nur Bekri,Bole
60,travels-to,John Kerry,Seoul
61,travels-to,Rashid Rauf,Pakistan
62,travels-to,John Kerry,Baghdad
63,born-in,Samak,Bangkok
64,lived-in,McCain,Arizona
65,lived-in,Tamblyn,Santa Monica
66,born-in,Howard Loxton,Birmingham
67,died-in,Leona Helmsley,Greenwich
68,died-in,George Osmond,Provo
69,died-in,John Lennon,New York City
70,travels-to,Barack Obama,Israel
71,born-in,Vladimir Georgiev,Sofia
72,lived-in,Jennifer Brunner,Ohio
73,born-in,Gianmarco Pozzecco,Gorizia
74,travels-to,Obama,Israel
75,travels-to,John Kerry,Afghanistan
76,lived-in,Cecil B. DeMille,Hollywood
77,lived-in,Peter Chan,Hong Kong
78,born-in,Adolph Albrecht Erlenmeyer,Wiesbaden
79,born-in,A. M. Esmonde,Swansea
80,travels-to,John Kerry,Islamabad
81,born-in,Lionel Tiger,Montreal
82,born-in,Philip Warwick,Westminster
83,lived-in,Stuart Sternberg,New York
84,born-in,Tom Lynskey,Galway
85,born-in,Don Kelly,Market Harborough
86,born-in,Jared Cohen,Weston
87,lived-in,John Georges,New Orleans
88,travels-to,Kerry,Pakistan
89,travels-to,Musharraf,Pakistan
90,born-in,Raul Olle,Tartu
91,travels-to,John Kerry,Saudi Arabia
92,lived-in,Aung San Suu Kyi,Yangon
93,travels-to,Obama,Boston
94,died-in,Ben Weider,Montreal
95,born-in,Dick Spotswood,San Francisco
96,travels-to,Bush,Middle East
97,travels-to,Kerry,Geneva
98,travels-to,Musharraf,Karachi
99,lived-in,Ayelet Waldman,Berkeley
100,lived-in,Karen Carter,New Orleans
101,lived-in,Ginny Brown-Waite,Brooksville
102,lived-in,Huckabee,Arkansas
103,travels-to,John Kerry,India
104,born-in,Luigi Attademo,Naples
105,died-in,Lois Maxwell,Fremantle
106,born-in,Sandu Florea,Ghelari
107,travels-to,Smith,Mississippi
108,died-in,Diana,Paris
109,born-in,Reuel Denney,New York City
110,travels-to,Obama,Northern Ireland
111,born-in,Bill Dillard,Pennsylvania
112,nationality,Livni,Israel
113,died-in,Pirro,Rome
114,travels-to,Kerry,Jordan
115,travels-to,Abe,Myanmar
116,travels-to,McCain,Syria
117,travels-to,Obama,Israel
118,born-in,Alec Briggs,Sheffield
119,born-in,Eva Roth,Augsburg
120,lived-in,Skelemani,Botswana
121,lived-in,Christopher Shays,Connecticut
122,died-in,Dink,Istanbul
123,died-in,Williams-Ellis,Portmeirion
124,travels-to,Kerry,Kabul
125,lived-in,Butch Johnson,Woodstock
126,travels-to,Obama,Afghanistan
127,born-in,Julie Mullen,Liverpool
128,died-in,Zawinul,Vienna
129,lived-in,Ferraro,Conn.
130,travels-to,Kerry,Turkey
131,died-in,Baczako,Budapest
132,travels-to,Silva,Toledo
133,lived-in,Schwarzenegger,California
134,travels-to,Kerry,South Korea
135,lived-in,Hassan,Iraq
136,lived-in,Ayers,Chicago
137,died-in,Moughniyah,Damascus
138,travels-to,Los Angeles Lakers star Kobe Bryant,Germany
139,lived-in,Rudy Giuliani,New York City
140,born-in,Marcello Abbado,Milan
141,lived-in,Sen. John McCain,Arizona
142,travels-to,John McCain,Cairo
143,nationality,Ainars Kovals,Latvia
144,travels-to,Obama,Israel
145,born-in,Sylvia Pressler,New York City
146,born-in,Richard Burton,Pontrhydyfen
147,died-in,Solzhenitsyn,Moscow
148,died-in,William Gibson,Stockbridge
149,nationality,Sergei Novitski,Russia
150,nationality,Olmert,Israel
151,travels-to,Katerina Thanou,Athens
152,born-in,Brenton Brown,South Africa
153,died-in,Xie,Shangyu
154,born-in,Louis Crucy,Nantes
155,born-in,Middlebrook,Idaho
156,died-in,Hariri,Beirut
157,lived-in,Mayor Rudolph Giuliani,New York City
158,lived-in,Cardinal Hans Hermann Groer,Vienna
159,born-in,Jamieson,Toledo
160,lived-in,McCain,Arizona
161,lived-in,Vladimir Rushailo,Russia
162,nationality,Frida Hansdotter,Sweden
163,born-in,Dirk Van der Hoff,Dordrecht
164,born-in,Allan Simonsen,Odense
165,lived-in,Hamid Karzai,Afghanistan
166,lived-in,Joao Bernardo Vieira,Bissau
167,lived-in,Sarah Palin,Alaska
168,lived-in,Aung San Suu Kyi,Yangon
169,travels-to,Dennis Rodman,Vatican
170,nationality,Rafael Correa,Ecuador
171,travels-to,Edward Snowden,Hong Kong
172,born-in,Anthony Little,Mullewa
173,nationality,Leander Paes,India
174,lived-in,President Hugo Chavez,Caracas
175,died-in,Theo van Gogh,Amsterdam
176,born-in,Toby Garbett,Chertsey
177,lived-in,Henry Watson Jones,Altadena
178,travels-to,Cameron,Pakistan
179,lived-in,Hudson,Chicago
180,lived-in,Arnold Schwarzenegger,California
181,lived-in,Rudy Giuliani,New York City
182,born-in,Pippa Steel,Flensburg
183,travels-to,Recep Tayyip Erdogan,Istanbul
184,born-in,Tore Nordseth,Trondheim
185,travels-to,Barack Obama,Israel
186,nationality,Yang Zi-jun,Hong Kong
187,died-in,Rafiq Hariri,Beirut
188,lived-in,Celso Pitta,Sao Paulo
189,lived-in,Gov. Rick Perry,Texas
190,lived-in,Brezhnev,Moscow
191,born-in,Sarmad Bhatti,Khairpur
192,born-in,Henry John Hyde,Chicago
193,lived-in,Ehud Olmert,Israel
194,nationality,Karadzic,Bosnian Serb
195,born-in,Isabella Delves Broughton,London
196,born-in,De Wohl,Berlin
197,travels-to,Obama,Jordan
198,nationality,Samantha Stosur,Australia
199,born-in,Lucia Morico,Fano
200,travels-to,Azrinaz Mazhar Hakim,Kuala Lumpur
201,died-in,Archbishop Paulos Faraj Rahho,Mosul
202,born-in,Asmahan Farhat,Strongsville
203,travels-to,Samak Sundaravej,Bangkok
204,lived-in,Nir Barkat,JERUSALEM
205,died-in,Purushottam Kakodkar,Delhi
206,born-in,Robert van der Zant,Queensland
207,travels-to,Peter Halasz,New York City
208,died-in,Smith,Florida
209,died-in,Diana,Paris
210,travels-to,Obama,Belfast
211,lived-in,Ono,England
212,lived-in,Copland,Brooklyn
213,born-in,Omar Rezaq,Lebanon
214,born-in,Claire Cox,Peterborough
215,born-in,David Vaughan,London
216,lived-in,Arnold Schwarzenegger,California
217,born-in,Joe Zakas,Chicago
218,died-in,Nagai,Yangon
219,died-in,Imad Mughnieh,Damascus
220,travels-to,Obama,Israel
221,born-in,Nick Dranias,Chicago
222,died-in,Ben Weider,Montreal
223,born-in,Thomas Hoegh,Oslo
224,travels-to,John Kerry,India
225,lived-in,Cindy McCain,Phoenix
226,born-in,Oliver Lanard Fassig,Columbus
227,nationality,Michael Rasmussen,Denmark
228,died-in,Taylor,Miami
229,born-in,Paul Warfield Tibbets,Quincy
230,travels-to,John McCain,Syria
231,lived-in,Luciano Pavarotti,Modena
232,lived-in,Samper,Colombia
233,nationality,Wang Cheng Pang,Chinese Taipei
234,died-in,Alexander Litvinenko,London
235,born-in,Darnell Kennedy,Mobile
236,lived-in,Bill McCollum,Florida
237,born-in,Ron Johnson,Duntocher
238,travels-to,Victor Hugo,Paris
239,travels-to,Obama,Israel
240,born-in,Adam Macrow,Victoria
241,lived-in,Richard Carmona,U.S.
242,lived-in,Antoine Gizenga,Democratic Republic of Congo
243,lived-in,McCain,Arizona
244,travels-to,Kerry,South Korea
245,travels-to,John Kerry,Geneva
246,lived-in,Ieng Sary,Phnom Penh
247,born-in,Levy Patrick Mwanawasa,Mufulira
248,travels-to,Kerry,Geneva
249,born-in,Alatas,Jakarta
250,lived-in,Romney,Massachusetts
251,nationality,Ali Babacan,Ankara
252,born-in,Wang Randi,Dalian
253,travels-to,Biden,India
254,died-in,Philip Jones Griffiths,London
255,born-in,Donatella Rettore,Castelfranco Veneto
256,born-in,Rudy Hermann Guede,Ivory Coast
257,born-in,David Hammerstein Mintz,Los Angeles
258,lived-in,Sen. John McCain,Arizona
259,died-in,Bob Woolmer,Jamaica
260,travels-to,Edward Snowden,Moscow
261,born-in,Christina Reid,Ardoyne
262,born-in,Eric Watson,New Zealand
263,died-in,Princess Diana,Paris
264,died-in,Bhutto,Rawalpindi
265,died-in,Hariri,Beirut
266,born-in,Keagan Kang,Perth
267,lived-in,Paul Faraj Rahho,Mosul
268,travels-to,Chavez,Havana
269,born-in,Dave Tolley,Kitchener
270,lived-in,Aldo Stanton,Boulder
271,born-in,David Hudson,Dutchess County
272,died-in,Dadullah,Helmand
273,lived-in,Charles Dullin,Paris
274,nationality,Barack Obama,the United States
275,born-in,Samak,Bangkok
276,lived-in,Mitt Romney,Massachusetts
277,born-in,Geoffrey Bazeley,Penzance
278,travels-to,Barack Obama,Israel
279,travels-to,John Kerry,Israel
280,lived-in,John Edwards,North Carolina
281,born-in,Barbara Rapp,Klagenfurt
282,born-in,Eileen Beldon,Bradford
283,died-in,Rhys,Croxteth
284,nationality,Elisabeth Goergl,Austria
285,travels-to,Israeli Prime Minister Benjamin Netanyahu,Washington
286,born-in,Ma Xianda,Hebei
287,died-in,Walid Eido,Beirut
288,lived-in,Dean Wilson,Hawaii
289,lived-in,Henry Fok,Hong Kong
290,born-in,Karl Sarafidis,Beirut
291,lived-in,Bill Richardson,New Mexico
292,nationality,Paul Lawrie,Scotland
293,died-in,Pierre Gemayel,Beirut
294,lived-in,Favre,Mississippi
295,died-in,Hariri,Beirut
296,lived-in,Bill Richardson,New Mexico
297,born-in,Delphine Pelletier,Bourges
298,lived-in,Vera Dushevina,Russia
299,lived-in,Mayor Richard Daley,Chicago
300,lived-in,Arnold Schwarzenegger,California
301,born-in,Mashel Teitelbaum,Saskatoon
302,travels-to,Alberto Fujimori,Lima
303,born-in,Richard Raymond,Campbellton
304,died-in,Fred Rich,California
305,born-in,Freddy Winnai,Philadelphia
306,born-in,Hosea Kutako,Okahandja
307,travels-to,Obama,Israel
308,died-in,Ghanem,Beirut
309,lived-in,Governor Mitt Romney,Massachusetts
310,born-in,Hensley,Phoenix
311,nationality,Paul Haarhuis,Netherlands
312,born-in,Craig Culpan,Vancouver
313,born-in,John Rennie,Stranraer
314,travels-to,Michelle Obama,Boston
315,born-in,Francisca Pleguezuelos,Granada
316,lived-in,Rene Harris,Nauru
317,died-in,Will Harridge,Evanston
318,born-in,Lloyd Goffe,Reading
319,born-in,Carey Beebe,Melbourne
320,travels-to,Kerry,Egypt
321,lived-in,Aung San Suu Kyi,Yangon
322,nationality,Sebastien Grosjean,France
323,born-in,Ellen Simonetti,North Carolina
324,born-in,Christa Goetsch,Bonn
325,lived-in,Soeharto,Jakarta
326,travels-to,Bashir,South Sudan
327,travels-to,Nagaraj,Nairobi
328,born-in,Paul Bost,Lincolnton
329,born-in,William Borradaile,Streatham
330,born-in,Alison Waters,London
331,travels-to,Edward Snowden,Moscow
332,died-in,Cephas Washburn,Little Rock
333,born-in,Erich Schmidt,Jena
334,born-in,George W. Bush,U.S.
335,lived-in,Jim Hensley,Phoenix
336,born-in,George Loukomski,Kaluga
337,died-in,Alexander Litvinenko,London
338,nationality,Tatiana Poutchek,Belarus
339,lived-in,Arnold Schwarzenegger,California
340,born-in,Nigel Preston,London
341,lived-in,Pete V. Domenici,New Mexico
342,lived-in,Zappa,Los Angeles
343,travels-to,King Norodom Sihanouk,Beijing
344,born-in,Byron Nemeth,Quito
345,travels-to,Chavez,Caracas
346,born-in,Nathaniel Micklem,Cookham
347,born-in,Carlo Scott,Cape Town
348,nationality,Daniel Ortega,Nicaragua
349,travels-to,Adrian Peterson,South Dakota
350,died-in,Imad Mugniyah,Damascus
351,travels-to,Kerry,Doha
352,lived-in,Mitt Romney,Massachusetts
353,died-in,Marc Lepine,Montreal
354,died-in,R.B. Kitaj,Los Angeles
355,travels-to,Obama,Chattanooga
356,died-in,Antoine Ghanem,Beirut
357,born-in,Michael Randle,England
358,born-in,Bruce Carmichael,Winnipeg
359,travels-to,Munir,Singapore
360,lived-in,Christensen,Bardstown
361,born-in,Theodor Gangauf,Bergen
362,lived-in,Kunio Hatoyama,Japan
363,travels-to,Apa Sherpa,Nepal
364,travels-to,Kerry,Brunei
365,died-in,Alexander Litvinenko,London
366,lived-in,Morgan Tsvangirai,Zimbabwe
367,lived-in,Walter Veltroni,Rome
368,lived-in,John Edwards,North Carolina
369,born-in,Blaine Marchand,Ottawa
370,died-in,Gordon Hinckley,Salt Lake City
371,born-in,John Mundy,Manchester
372,born-in,Edward Gardner,Gloucester
373,lived-in,Lee Hsien Loong,Singapore
374,travels-to,John Kerry,Geneva
375,born-in,Joseph Shield Nicholson,Wrawby
376,born-in,Christos Sirros,Athens
377,travels-to,Dennis Rodman,Rome
378,nationality,Marcel van der Westen,Netherlands
379,born-in,Kjell Rodian,Frederiksberg
380,travels-to,John Kerry,Israel
381,nationality,Edmund Ho Hau Wah,Macao
382,born-in,Mukasey,Bronx
383,born-in,Heather Jones,Edmonton
384,born-in,Paul Lacroix,Paris
385,born-in,Manolo Guindani,Cremona
386,lived-in,Shays,Connecticut
387,travels-to,Jimmy Carter,North Korea
388,lived-in,Johnson,Des Moines
389,born-in,Mike Daniels,Stanmore
390,died-in,Benazir Bhutto,Rawalpindi
391,lived-in,Kerviel,Pont l'Abbe
392,lived-in,Bill Rosendahl,Los Angeles
393,died-in,Anna Politkovskaya,Moscow
394,nationality,Mercedes Peris Minguet,Spain
395,travels-to,Kerry,Kabul
396,lived-in,Sam Brownback,Kansas
397,travels-to,Obama,Israel
398,travels-to,Ghanem,Beirut
399,travels-to,Lon Snowden,Moscow
400,travels-to,John Kerry,Saudi Arabia
401,died-in,Stang,Anapu
402,died-in,Luciano Pavarotti,Modena
403,nationality,Miyuki Maeda,Japan
404,travels-to,John Kerry,Geneva
405,lived-in,Yuri Luzhkov,Moscow
406,died-in,Jose Antonio Ortega Bonet,Coral Gables
407,born-in,Josef Stalin,Gori
408,born-in,Pierluigi Cappello,Gemona del Friuli
409,died-in,Carl Oglesby,Montclair
410,lived-in,Sen. John McCain,Arizona
411,died-in,Jacques Chirac,PARIS
412,lived-in,Aung San Suu Kyi,Yangon
413,born-in,Harry Philbrick,Providence
414,died-in,Bhutto,Rawalpindi
415,born-in,Claude Burton,Littleton
416,lived-in,Suharto,Jakarta
417,lived-in,Prince Ghazi bin Muhammad,Amman
418,born-in,Gifty Addy,Accra
419,lived-in,Madoff,Manhattan
420,lived-in,V.P. Singh,New Delhi
421,lived-in,Suu Kyi,Yangon
422,born-in,Bruno Arpaia,Naples
423,lived-in,Walsh,Los Angeles
424,died-in,Gianpaolo Tarabini,Zimbabwe
425,died-in,Suzanne Tamim,Dubai
426,lived-in,Josephine Baker,Paris
427,born-in,Tom Jones,Dallas
428,died-in,Pier Miranda Ferraro,Milan
429,died-in,Rafiq Hariri,Beirut
430,born-in,Philippe Gache,Avignon
431,born-in,Murray McEachern,Toronto
432,died-in,Litvinenko,London
433,died-in,Hariri,Beirut
434,died-in,Zawinul,Vienna
435,nationality,Daniel Njenga,Kenya
436,lived-in,Amos Yadlin,Israel
437,lived-in,Aung San Suu Kyi,Yangon
438,lived-in,Romney,Massachusetts
439,travels-to,Kerry,Istanbul
440,travels-to,John Kerry,Afghanistan
441,lived-in,James Blake,US
442,died-in,Prokofiev,Moscow
443,born-in,Roger Riddle,Detroit
444,died-in,Eric von Schmidt,Fairfield
445,lived-in,Amr Moussa,Cairo
446,died-in,TAYLOR,Miami
447,born-in,William Henry Brisbane,Beaufort County
448,born-in,Antoine Mariotte,Avignon
449,lived-in,Michael E. Capuano,Somerville
450,nationality,Giuliani,America
451,lived-in,Aung San Suu Kyi,Yangon
452,nationality,Edith van Dijk,the Netherlands
453,travels-to,Crow,Belgium
454,born-in,George Smith,Cropwell Bishop
455,travels-to,Biden,India
456,born-in,Marina van der Merwe,Cape Town
457,died-in,Juan Camilo Mourino,Mexico City
458,born-in,Philippe Pierson,Ath
459,died-in,Vonnegut,New York City
460,lived-in,Sarkozy,Paris
461,born-in,Wayne Powell,Caerphilly
462,died-in,Dube,Rosettenville
463,travels-to,Obama,Israel
464,born-in,Helen Sharsmith,Oakland
465,travels-to,Barack Obama,Israel
466,born-in,Stubb,Helsinki
467,born-in,David Carter,Bundaberg
468,travels-to,John Kerry,Japan
469,died-in,Jesus de Polanco,Madrid
470,travels-to,Barack Obama,Israel
471,born-in,John Benjamin Henck,Philadelphia
472,travels-to,John Kerry,Seoul
473,born-in,Rabbi Gavriel Holtzberg,Israel
474,nationality,Teodora Mircic,Serbia
475,died-in,George Ratterman,Centennial
476,travels-to,John Kerry,India
477,died-in,Litvinenko,London
478,died-in,Horace G. Snover,Port Huron
479,born-in,Sam Holden,Kensington
480,born-in,Valeriu Stoica,Bucharest
481,born-in,Helge Eide,"Arna, Norway"
482,died-in,Walid Eido,Beirut
483,born-in,Martine Roure,Lyon
484,lived-in,Demetri,Russia
485,travels-to,Mubarak,Egypt
486,nationality,Tegla Loroupe,Kenya
487,born-in,Edmund Port,Syracuse
488,travels-to,Caroline Kennedy,Tokyo
489,born-in,Charles Dixon,London
490,born-in,George Graham,Stirling
491,died-in,Benazir Bhutto,Rawalpindi
492,travels-to,McCain,Syria
493,born-in,Walter J. Mahoney,Buffalo
494,born-in,Francis William Drake,Buckland Monachorum
495,lived-in,McCain,Arizona
496,travels-to,John Kerry,Asia
497,lived-in,John Edwards,North Carolina
498,lived-in,President Mary McAleese,Dublin
499,died-in,Delaney Bramlett,Los Angeles
500,died-in,Maurice Bejart,Lausanne
501,born-in,Zona Jones,Corpus Christi
502,born-in,Essie Sakhai,Iran
503,born-in,Pascal Mailloux,Granby
